"","GISJOIN","STATE","state_county","YEAR","Mexican","Puerto Rican","Cuban","Dominican Republic","Central American","South American","Other Hispanic or Latino","Total Hispanic or Latino","Central American, Costa Rican","Central American, Guatemalan","Central American, Honduran","Central American, Nicaraguan","Central American, Panamian","Central American, Salvadoran","Central American, Other Central American","South American, Argentinean","South American, Bolivian","South American, Chilean","South American, Colombian","South American, Ecuadorian","South American, Paraguayan","South American, Peruvian","South American, Uruguayan","South American, Venezuelan","South American, Other South American","Other Hispanic or Latino, Spaniard","Other Hispanic or Latino, Spanish","Other Hispanic or Latino, Spanish American","Other Hispanic or Latino, All other Hispanic or Latino","county"
"106","G1700310070700","Illinois","17031",2000,284,156,4,1,9,16,57,527,0,5,2,0,0,0,2,3,0,0,5,7,0,1,0,0,0,1,7,0,49,"Cook"
"107","G1700310070800","Illinois","17031",2000,63,58,7,0,10,30,7,175,4,6,0,0,0,0,0,0,0,3,8,19,0,0,0,0,0,0,0,0,7,"Cook"
"108","G1700310070900","Illinois","17031",2000,42,13,9,0,7,8,8,87,0,4,0,0,0,3,0,2,2,0,0,3,0,0,0,0,1,0,2,0,6,"Cook"
"109","G1700310071000","Illinois","17031",2000,129,33,10,2,12,8,52,246,0,2,8,0,2,0,0,2,0,0,1,2,2,1,0,0,0,1,5,0,46,"Cook"
"110","G1700310071100","Illinois","17031",2000,76,22,4,0,12,8,34,156,0,1,8,0,1,2,0,0,0,0,3,0,0,1,1,1,2,0,11,0,23,"Cook"
"111","G1700310071200","Illinois","17031",2000,48,12,5,1,2,7,18,93,0,0,0,1,1,0,0,0,1,0,2,3,0,0,0,0,1,0,2,0,16,"Cook"
"112","G1700310071300","Illinois","17031",2000,65,10,6,0,6,8,21,116,0,2,1,0,3,0,0,5,1,1,0,0,0,0,1,0,0,0,7,0,14,"Cook"
"113","G1700310071400","Illinois","17031",2000,93,35,17,0,3,20,36,204,0,3,0,0,0,0,0,3,1,7,2,1,0,4,0,2,0,1,12,0,23,"Cook"
"114","G1700310071500","Illinois","17031",2000,70,36,8,4,6,19,26,169,1,1,0,0,0,3,1,7,3,4,2,0,0,0,0,2,1,1,8,1,16,"Cook"
"115","G1700310071600","Illinois","17031",2000,23,14,7,1,1,8,16,70,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,3,0,1,2,0,13,"Cook"
"116","G1700310071700","Illinois","17031",2000,26,14,2,0,0,5,2,49,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,1,"Cook"
"117","G1700310071800","Illinois","17031",2000,20,18,1,0,1,12,9,61,0,0,0,0,0,0,1,0,0,1,6,1,0,1,0,1,2,1,1,0,7,"Cook"
"118","G1700310071900","Illinois","17031",2000,39,15,10,0,1,6,10,81,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,1,3,0,6,"Cook"
"119","G1700310072000","Illinois","17031",2000,12,10,1,1,0,7,5,36,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,0,0,5,"Cook"
"120","G1700310080100","Illinois","17031",2000,69,40,15,5,11,25,25,190,0,3,0,0,1,4,3,9,1,1,9,0,0,2,0,1,2,0,6,0,19,"Cook"
