"","GISJOIN","YEAR","STATE","COUNTY","state_county","Mexican","total_pop","total_his"
"1489","G1700890851801",1990,"Illinois","Kane","17089",297,5303,391
"1490","G1700890851802",1990,"Illinois","Kane","17089",254,4550,337
"1491","G1700890851902",1990,"Illinois","Kane","17089",193,4299,231
"1492","G1700890851903",1990,"Illinois","Kane","17089",228,7099,329
"1493","G1700890851904",1990,"Illinois","Kane","17089",334,5443,428
"1494","G1700890852001",1990,"Illinois","Kane","17089",182,8757,255
"1495","G1700890852002",1990,"Illinois","Kane","17089",167,6794,221
"1496","G17008908521",1990,"Illinois","Kane","17089",36,6145,56
"1497","G1700890852201",1990,"Illinois","Kane","17089",48,4792,61
"1498","G1700890852202",1990,"Illinois","Kane","17089",131,4614,176
"1499","G17008908523",1990,"Illinois","Kane","17089",89,2004,92
"1500","G1700890852401",1990,"Illinois","Kane","17089",38,6126,79
"1501","G1700890852402",1990,"Illinois","Kane","17089",21,3020,47
"1502","G1700890852403",1990,"Illinois","Kane","17089",39,5551,44
"1503","G17008908525",1990,"Illinois","Kane","17089",147,5836,196
"1504","G17008908526",1990,"Illinois","Kane","17089",60,10189,96
"1505","G17008908527",1990,"Illinois","Kane","17089",169,5878,207
"1506","G1700890852801",1990,"Illinois","Kane","17089",67,5324,82
"1507","G1700890852802",1990,"Illinois","Kane","17089",276,9104,356
"1508","G1700890852902",1990,"Illinois","Kane","17089",991,7709,1182
"1509","G1700890852903",1990,"Illinois","Kane","17089",511,3228,590
"1510","G1700890852904",1990,"Illinois","Kane","17089",756,2031,933
"1511","G1700890852905",1990,"Illinois","Kane","17089",460,4187,587
"1512","G1700890853001",1990,"Illinois","Kane","17089",53,1024,78
"1513","G1700890853002",1990,"Illinois","Kane","17089",840,6427,1037
"1514","G1700890853003",1990,"Illinois","Kane","17089",326,7622,459
"1515","G1700890853004",1990,"Illinois","Kane","17089",38,2896,48
"1516","G17008908531",1990,"Illinois","Kane","17089",222,2563,288
"1517","G17008908532",1990,"Illinois","Kane","17089",974,5591,1116
"1518","G17008908533",1990,"Illinois","Kane","17089",798,2854,908
"1519","G17008908534",1990,"Illinois","Kane","17089",4842,7474,5382
"1520","G17008908535",1990,"Illinois","Kane","17089",1597,4154,2107
"1521","G17008908536",1990,"Illinois","Kane","17089",3282,6917,3788
"1522","G17008908537",1990,"Illinois","Kane","17089",171,614,196
"1523","G17008908538",1990,"Illinois","Kane","17089",744,1654,836
"1524","G17008908539",1990,"Illinois","Kane","17089",208,5928,275
"1525","G1700890854001",1990,"Illinois","Kane","17089",78,3413,110
"1526","G1700890854002",1990,"Illinois","Kane","17089",419,5160,515
"1527","G17008908541",1990,"Illinois","Kane","17089",1118,3702,1313
"1528","G17008908542",1990,"Illinois","Kane","17089",691,3957,817
"1529","G17008908543",1990,"Illinois","Kane","17089",816,7082,1043
"1530","G17008908544",1990,"Illinois","Kane","17089",765,5582,886
"1531","G1700890854501",1990,"Illinois","Kane","17089",23,3844,34
"1532","G1700890854502",1990,"Illinois","Kane","17089",58,5328,98
"1533","G1700890854696",1990,"Illinois","Kane","17089",0,0,0
"1534","G1700890854697",1990,"Illinois","Kane","17089",0,0,0
"1535","G1700890854698",1990,"Illinois","Kane","17089",1,12,1
"1536","G1700890854798",1990,"Illinois","Kane","17089",0,5,0
"1537","G1700970860101",1990,"Illinois","Lake","17097",63,3324,107
"1538","G1700970860102",1990,"Illinois","Lake","17097",107,6783,151
"1539","G17009708602",1990,"Illinois","Lake","17097",110,3891,157
"1540","G17009708603",1990,"Illinois","Lake","17097",302,6932,462
"1541","G17009708604",1990,"Illinois","Lake","17097",177,2330,291
"1542","G17009708605",1990,"Illinois","Lake","17097",307,6396,511
"1543","G17009708606",1990,"Illinois","Lake","17097",130,5913,232
"1544","G17009708607",1990,"Illinois","Lake","17097",58,3582,88
"1545","G1700970860802",1990,"Illinois","Lake","17097",47,6659,88
"1546","G1700970860803",1990,"Illinois","Lake","17097",50,4503,66
"1547","G1700970860804",1990,"Illinois","Lake","17097",79,6884,108
