"","GISJOIN","STATE","state_county","YEAR","Total Hispanic or Latino","Mexican","Puerto Rican","Cuban","Dominican Republic","Central American","Central American, Costa Rican","Central American, Guatemalan","Central American, Honduran","Central American, Nicaraguan","Central American, Panamian","Central American, Salvadoran","Central American, Other Central American","South American","South American, Argentinean","South American, Bolivian","South American, Chilean","South American, Colombian","South American, Ecuadorian","South American, Paraguayan","South American, Peruvian","South American, Uruguayan","South American, Venezuelan","South American, Other South American","Other Hispanic or Latino","Other Hispanic or Latino, Spaniard","Other Hispanic or Latino, Spanish","Other Hispanic or Latino, Spanish American","Other Hispanic or Latino, All other Hispanic or Latino","county"
"220","G1700310190300","Illinois","17031",2010,3665,2173,906,42,22,245,4,157,23,25,0,36,0,207,3,0,2,27,143,0,23,0,1,8,70,2,7,0,61,"Cook"
"221","G1700310190401","Illinois","17031",2010,2664,1713,530,13,0,176,3,116,19,14,4,20,0,176,7,4,0,44,81,0,38,0,1,1,56,2,1,0,53,"Cook"
"222","G1700310190402","Illinois","17031",2010,3666,2320,740,28,4,205,1,110,44,9,0,41,0,256,0,0,7,32,166,0,49,0,0,2,113,12,4,0,97,"Cook"
"223","G1700310190601","Illinois","17031",2010,3717,2578,677,14,28,180,7,88,40,7,2,36,0,186,9,0,2,31,117,0,27,0,0,0,54,1,0,1,52,"Cook"
"224","G1700310190602","Illinois","17031",2010,4388,2906,820,46,19,368,0,211,49,22,4,82,0,164,6,0,1,53,62,0,41,0,0,1,65,1,2,0,62,"Cook"
"225","G1700310190701","Illinois","17031",2010,2436,1598,428,12,11,171,1,123,8,7,2,30,0,123,2,1,2,14,82,0,17,1,4,0,93,1,0,0,92,"Cook"
"226","G1700310190702","Illinois","17031",2010,4065,3012,553,26,23,166,0,114,21,3,0,28,0,156,5,7,7,14,104,0,17,0,0,2,129,4,2,0,123,"Cook"
"227","G1700310190800","Illinois","17031",2010,5586,3413,1333,25,37,351,0,184,80,17,16,54,0,272,1,3,1,72,164,3,23,1,4,0,155,11,16,0,128,"Cook"
"228","G1700310190900","Illinois","17031",2010,1677,891,567,17,6,81,0,41,11,0,3,24,2,71,3,0,0,17,46,0,4,0,0,1,44,1,6,0,37,"Cook"
"229","G1700310191000","Illinois","17031",2010,2300,1281,647,13,10,173,8,95,30,9,2,29,0,120,0,0,0,14,82,0,16,0,1,7,56,0,7,1,48,"Cook"
"230","G1700310191100","Illinois","17031",2010,6526,4336,1382,62,34,304,1,176,45,4,1,73,4,199,12,0,4,27,126,0,25,0,5,0,209,4,7,0,198,"Cook"
"231","G1700310191200","Illinois","17031",2010,3591,2777,414,7,29,140,0,56,41,15,13,14,1,99,1,6,0,10,73,0,3,0,6,0,125,9,9,0,107,"Cook"
"232","G1700310191301","Illinois","17031",2010,4509,3275,622,27,19,276,0,157,68,8,1,42,0,140,13,1,0,19,74,0,21,1,9,2,150,5,35,0,110,"Cook"
"233","G1700310191302","Illinois","17031",2010,4358,3340,652,25,19,185,8,110,36,11,0,16,4,68,2,1,2,25,26,0,12,0,0,0,69,8,0,0,61,"Cook"
"234","G1700310200100","Illinois","17031",2010,3334,1813,944,23,19,205,3,140,26,8,4,22,2,225,0,0,5,45,153,0,21,0,1,0,105,18,0,0,87,"Cook"
"235","G1700310200200","Illinois","17031",2010,4700,2361,1643,38,40,254,8,142,42,1,0,59,2,172,6,0,0,49,96,0,11,0,10,0,192,2,9,0,181,"Cook"
"236","G1700310200300","Illinois","17031",2010,1956,1189,492,23,12,120,11,50,42,1,4,12,0,55,0,0,2,6,40,0,7,0,0,0,65,7,0,0,58,"Cook"
"237","G1700310200401","Illinois","17031",2010,3219,1961,906,20,20,157,7,72,36,0,1,41,0,90,4,0,0,5,40,3,23,0,9,6,65,9,1,0,55,"Cook"
"238","G1700310200402","Illinois","17031",2010,4058,2565,991,9,19,294,3,146,87,8,1,47,2,77,7,0,1,7,53,0,9,0,0,0,103,3,0,0,100,"Cook"
"239","G1700310210100","Illinois","17031",2010,2189,1387,421,20,10,147,1,76,32,4,2,32,0,161,9,0,3,29,108,0,11,1,0,0,43,10,4,0,29,"Cook"
"240","G1700310210400","Illinois","17031",2010,2275,1385,474,20,16,168,1,118,20,4,2,21,2,164,1,0,0,18,130,0,8,0,5,2,48,4,0,0,44,"Cook"
"241","G1700310210501","Illinois","17031",2010,2459,1654,359,17,3,161,0,82,28,8,3,39,1,192,0,0,0,20,150,0,15,0,7,0,73,7,2,1,63,"Cook"
"242","G1700310210502","Illinois","17031",2010,2967,2070,358,26,8,237,1,156,44,4,1,27,4,198,0,7,0,24,161,0,6,0,0,0,70,6,2,1,61,"Cook"
"243","G1700310210601","Illinois","17031",2010,2164,1450,278,29,4,121,3,68,17,0,2,30,1,233,6,0,3,16,194,0,5,6,2,1,49,13,5,0,31,"Cook"
"244","G1700310210602","Illinois","17031",2010,3487,2315,637,44,20,214,5,170,17,2,1,18,1,171,0,4,1,37,118,0,4,1,3,3,86,14,10,0,62,"Cook"
"245","G1700310210700","Illinois","17031",2010,2772,1634,664,46,15,194,2,132,27,8,8,17,0,154,9,0,3,31,95,0,14,0,2,0,65,4,0,0,61,"Cook"
"246","G1700310210800","Illinois","17031",2010,856,525,138,19,14,69,0,54,7,0,0,8,0,62,0,0,0,16,43,0,1,0,0,2,29,2,5,2,20,"Cook"
"247","G1700310210900","Illinois","17031",2010,1631,985,397,24,4,90,5,60,14,8,3,0,0,85,8,3,1,14,37,1,12,7,2,0,46,1,1,0,44,"Cook"
"248","G1700310220300","Illinois","17031",2010,762,315,346,14,7,37,1,20,3,5,1,7,0,25,6,0,0,14,3,0,1,1,0,0,18,10,1,0,7,"Cook"
"249","G1700310220400","Illinois","17031",2010,899,410,375,19,5,40,1,23,7,2,2,5,0,35,3,0,1,8,16,0,5,0,0,2,15,3,4,0,8,"Cook"
"250","G1700310220500","Illinois","17031",2010,842,302,361,34,5,37,1,22,10,2,2,0,0,65,0,1,8,15,28,0,3,3,3,4,38,16,3,1,18,"Cook"
"251","G1700310220601","Illinois","17031",2010,871,391,330,17,5,58,0,32,14,0,4,8,0,64,3,0,0,11,36,1,13,0,0,0,6,2,0,0,4,"Cook"
"252","G1700310220602","Illinois","17031",2010,2363,1060,820,91,7,131,3,71,26,11,6,14,0,159,4,1,6,20,113,1,13,0,1,0,95,17,11,0,67,"Cook"
"253","G1700310220701","Illinois","17031",2010,2701,1602,633,32,29,166,7,96,49,0,0,14,0,191,1,0,1,21,149,0,14,5,0,0,48,2,0,0,46,"Cook"
"254","G1700310220702","Illinois","17031",2010,2942,1794,827,18,1,172,2,103,44,2,2,19,0,75,1,0,0,9,52,0,9,0,4,0,55,8,4,0,43,"Cook"
"255","G1700310220901","Illinois","17031",2010,2813,1623,806,37,18,112,1,66,14,8,0,23,0,115,15,0,4,13,61,0,20,2,0,0,102,9,3,0,90,"Cook"
"256","G1700310220902","Illinois","17031",2010,2833,1644,790,18,14,132,1,93,19,6,0,13,0,167,1,0,2,9,141,0,5,0,9,0,68,8,4,0,56,"Cook"
"257","G1700310221000","Illinois","17031",2010,2072,1202,548,20,18,120,0,38,60,8,0,14,0,94,3,0,1,18,69,0,1,0,2,0,70,8,1,0,61,"Cook"
"258","G1700310221100","Illinois","17031",2010,2703,1176,1107,51,15,175,6,105,36,7,3,18,0,103,8,0,1,26,58,0,9,0,1,0,76,3,2,0,71,"Cook"
"259","G1700310221200","Illinois","17031",2010,1248,565,483,45,8,61,1,35,8,8,6,3,0,65,11,2,1,12,32,0,6,0,1,0,21,8,1,0,12,"Cook"
"260","G1700310221300","Illinois","17031",2010,1657,824,570,27,9,68,1,31,16,0,0,20,0,115,3,0,1,17,88,0,3,0,3,0,44,5,1,0,38,"Cook"
"261","G1700310221400","Illinois","17031",2010,1779,1351,252,21,3,56,2,26,19,2,3,4,0,59,9,0,1,8,37,0,2,0,2,0,37,6,4,0,27,"Cook"
